,Small Component,Big Component,Small2 Component,Big2 Component,Score
3273,consensus independent component 88_Gastric cancer,consensus independent component 1166_big,consensus independent component 20_Normal,consensus independent component 1166_big,-0.0430098665542786
422,consensus independent component 127_Renal cancer,consensus independent component 2607_big,consensus independent component 8_Colorectal cancer,consensus independent component 97_big,-0.043010509791072384
875,consensus independent component 15_Melanoma,consensus independent component 3254_big,consensus independent component 101_Adrenal cancer,consensus independent component 251_big,-0.04303324032936519
57,consensus independent component 103_Melanoma,consensus independent component 2720_big,consensus independent component 86_Multiple myeloma,consensus independent component 521_big,-0.04307987270300559
2716,consensus independent component 5_Lung cancer,consensus independent component 96_big,consensus independent component 115_Breast cancer,consensus independent component 96_big,-0.04336196559817118
466,consensus independent component 12_Renal cancer,consensus independent component 37_big,consensus independent component 37_Colorectal cancer,consensus independent component 37_big,-0.043392582135089675
512,consensus independent component 133_HNSCC,consensus independent component 1764_big,consensus independent component 202_Breast cancer,consensus independent component 144_big,-0.04348983916609089
3037,consensus independent component 75_Sarcoma,consensus independent component 1072_big,consensus independent component 88_Melanoma,consensus independent component 1463_big,-0.043565586000100284
1669,consensus independent component 285_Sarcoma,consensus independent component 445_big,consensus independent component 129_Melanoma,consensus independent component 445_big,-0.04360843738705744
2857,consensus independent component 66_Sarcoma,consensus independent component 704_big,consensus independent component 167_Lung cancer,consensus independent component 3266_big,-0.04370814764163441
51,consensus independent component 103_Colorectal cancer,consensus independent component 805_big,consensus independent component 172_Breast cancer,consensus independent component 1263_big,-0.04376955742967081
3316,consensus independent component 8_Normal,consensus independent component 945_big,consensus independent component 7_Leukemia,consensus independent component 945_big,-0.04404720038502685
3083,consensus independent component 78_Lymphoma,consensus independent component 1913_big,consensus independent component 79_Colorectal cancer,consensus independent component 1488_big,-0.04407977162066734
1054,consensus independent component 178_Colorectal cancer,consensus independent component 136_big,consensus independent component 149_Breast cancer,consensus independent component 136_big,-0.04416164982314236
1231,consensus independent component 199_Sarcoma,consensus independent component 398_big,consensus independent component 146_Breast cancer,consensus independent component 398_big,-0.04416604151221831
141,consensus independent component 109_HCC,consensus independent component 2328_big,consensus independent component 57_Adrenal cancer,consensus independent component 855_big,-0.04425506179144094
891,consensus independent component 160_Sarcoma,consensus independent component 1702_big,consensus independent component 13_Colorectal cancer,consensus independent component 79_big,-0.04430176803317945
3103,consensus independent component 79_Multiple myeloma,consensus independent component 855_big,consensus independent component 30_Lymphoma,consensus independent component 855_big,-0.0445322155582446
517,consensus independent component 133_Ovarian cancer,consensus independent component 2628_big,consensus independent component 86_Colorectal cancer,consensus independent component 2628_big,-0.04463850108978573
41,consensus independent component 102_Lymphoma,consensus independent component 445_big,consensus independent component 2_Normal,consensus independent component 445_big,-0.04467455352628086
800,consensus independent component 153_Sarcoma,consensus independent component 3305_big,consensus independent component 75_Gastric cancer,consensus independent component 3425_big,-0.04487376911321303
1446,consensus independent component 23_Gastric cancer,consensus independent component 1671_big,consensus independent component 121_Breast cancer,consensus independent component 191_big,-0.04491528952670511
332,consensus independent component 120_Sarcoma,consensus independent component 1225_big,consensus independent component 30_Brain cancer,consensus independent component 1625_big,-0.04497334007106714
1896,consensus independent component 32_Lung cancer,consensus independent component 78_big,consensus independent component 55_Colorectal cancer,consensus independent component 78_big,-0.04501586095872234
30,consensus independent component 101_Renal cancer,consensus independent component 3334_big,consensus independent component 104_Sarcoma,consensus independent component 431_big,-0.045143165517534965
2647,consensus independent component 57_Normal,consensus independent component 2869_big,consensus independent component 141_Breast cancer,consensus independent component 2869_big,-0.04524025819203781
2208,consensus independent component 42_Myelodysplastic syndrome,consensus independent component 1059_big,consensus independent component 143_Brain cancer,consensus independent component 1712_big,-0.04530961784207709
2693,consensus independent component 59_Colorectal cancer,consensus independent component 1333_big,consensus independent component 180_Gastric cancer,consensus independent component 1333_big,-0.04534097052521713
641,consensus independent component 142_Colorectal cancer,consensus independent component 2365_big,consensus independent component 176_Breast cancer,consensus independent component 2365_big,-0.04558226025667694
1311,consensus independent component 20_Normal,consensus independent component 1166_big,consensus independent component 107_Lymphoma,consensus independent component 216_big,-0.04561014311533307
239,consensus independent component 115_Colorectal cancer,consensus independent component 3702_big,consensus independent component 59_Lung cancer,consensus independent component 3082_big,-0.04615814671518892
758,consensus independent component 150_HNSCC,consensus independent component 3154_big,consensus independent component 101_Normal,consensus independent component 3154_big,-0.04620936311409335
3379,consensus independent component 93_Melanoma,consensus independent component 194_big,consensus independent component 243_Normal,consensus independent component 2205_big,-0.04623947686894786
637,consensus independent component 141_Ovarian cancer,consensus independent component 86_big,consensus independent component 149_Lung cancer,consensus independent component 86_big,-0.04631144634405607
