gene_set_name	in_manual_selection	in_immune_terms	is_immune_process
GOBP_APPENDAGE_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_ARACHIDONIC_ACID_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ARACHIDONIC_ACID_SECRETION	FALSE	FALSE	FALSE
GOBP_ARF_PROTEIN_SIGNAL_TRANSDUCTION	FALSE	FALSE	FALSE
GOBP_ARGININE_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ARGININE_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ARGININE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ARGININE_TRANSMEMBRANE_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ARGININE_TRANSPORT	FALSE	FALSE	FALSE
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AROMATIC_AMINO_ACID_FAMILY_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	FALSE	FALSE	FALSE
GOBP_ARTERIAL_ENDOTHELIAL_CELL_DIFFERENTIATION	FALSE	FALSE	FALSE
GOBP_ARTERY_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_ARTERY_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_ARTERY_SMOOTH_MUSCLE_CONTRACTION	FALSE	FALSE	FALSE
GOBP_ASCENDING_AORTA_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_ASPARAGINE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ASPARTATE_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ASSEMBLY_OF_ACTOMYOSIN_APPARATUS_INVOLVED_IN_CYTOKINESIS	FALSE	FALSE	FALSE
GOBP_ASSOCIATIVE_LEARNING	FALSE	FALSE	FALSE
GOBP_ASTRAL_MICROTUBULE_ORGANIZATION	FALSE	FALSE	FALSE
GOBP_ASTROCYTE_ACTIVATION	FALSE	FALSE	FALSE
GOBP_ASTROCYTE_CELL_MIGRATION	FALSE	FALSE	FALSE
GOBP_ASTROCYTE_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_ASTROCYTE_DIFFERENTIATION	FALSE	FALSE	FALSE
GOBP_ASYMMETRIC_CELL_DIVISION	FALSE	FALSE	FALSE
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION	FALSE	FALSE	FALSE
GOBP_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	FALSE	FALSE	FALSE
GOBP_ATP_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ATP_DEPENDENT_CHROMATIN_REMODELING	FALSE	FALSE	FALSE
